time,open,close,high,low,volume_24h,market_cap,market_dominance,circulating_supply,sentiment,galaxy_score,alt_rank,contributors_active,contributors_created,posts_active,posts_created,interactions,social_dominance,volatility,spam
2024-05-15 05:00:00,61873.05,61881.07,61881.07,61873.05,26246866642.72,1218964013870.56,53.987681206068125,19698496,84,48,34,12040,424,23816,523,6409935,9.26768335155791,,
2024-05-15 06:00:00,61899.36,61899.36,61899.36,61826.37,24428049267.77,1219324216971.64,53.99457459706046,19698496,80,70,27,11719,550,22677,722,3345714,9.369538361105487,,
2024-05-15 07:00:00,61944.31,62176.2,62176.2,61896.99,24155216463.9,1224780901455.96,54.212814595463364,19698550,80,70,18,11717,543,23029,662,3591124,9.258968884814713,,
2024-05-15 08:00:00,62150.01,62150.01,62150.01,62051.42,24091961671.11,1224265056882.41,53.993268660146555,19698550,81,44,19,11695,588,22712,738,3347965,9.328689251799034,,
2024-05-15 09:00:00,62135.78,62852.61,62852.61,61939.84,24827062839.33,1238105293615.79,54.70548877031655,19698550,81,70,27,12293,644,23887,790,3451782,9.49894619636537,,
2024-05-15 10:00:00,62682.17,62682.17,62682.17,62425.81,25884709250.33,1234751464332.68,54.13498909311561,19698606,81,49,12,12468,979,24193,1249,3999515,9.538848540764748,,
2024-05-15 11:00:00,62480.44,62480.44,62480.44,62272.12,26410399539.61,1230777535638.59,54.053797169308716,19698606,81,70,14,12920,887,25359,1102,4361691,9.741023001398215,,
2024-05-15 12:00:00,62423.21,63694.76,63694.76,62418.59,28413420664.08,1254698026803.49,55.33089425690487,19698606,81,45,12,13057,1345,25895,1746,5972495,9.816074176844754,,
2024-05-15 13:00:00,63744.54,64155.93,64155.93,63558.3,30884516790.07,1263784011986.61,54.65838301755078,19698631,80,48,21,13349,1464,26664,1860,4622841,10.046721929163526,,
2024-05-15 14:00:00,64161.84,64427.9,64427.9,64016.31,31040399890.4,1269141516964.67,54.61027658634088,19698631,81,70,2,13597,1226,27460,1537,4798492,10.081022640082528,,
2024-05-15 15:00:00,64453.46,64817.47,64817.47,64411.28,32397532091.96,1276815489520.04,54.60894932041537,19698631,81,43,15,13632,1262,27647,1722,4913930,10.304087420940625,,
2024-05-15 16:00:00,64693.66,64843.72,64843.72,64684.99,32878269340.38,1277336491838.2,54.54196310326947,19698693,80,43,11,13814,1161,28002,1478,5421789,10.316662061342912,,
2024-05-15 17:00:00,64802.57,65104.19,65104.19,64787.18,32889493477.97,1282467485657.66,54.70867126731898,19698693,83,46,17,13875,1386,28347,1740,6894049,10.334267829865732,,
